Calendar Year,Measure,Age Filter,Users,Users Annotation code,Users Annotation Description,Denominator (3 Months Continuous Eligibility),Denominator Annotation code,Denominator Annotation Description,Utilization %,Utilization Annotation code,Utilization Annotation Description
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"406,661",,,"1,090,999",,,37.27%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"382,768",,,"1,419,735",,,26.96%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"250,425",,,"1,039,477",,,24.09%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"73,847",,,"442,679",,,16.68%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"361,281",,,"2,548,046",,,14.18%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"202,830",,,"1,181,250",,,17.17%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"440,075",,,"2,209,413",,,19.92%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"141,663",,,"699,801",,,20.24%,,
CY 2019,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"101,615",,,"558,160",,,18.21%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"4,863",,,"190,723",,,2.55%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"140,985",,,"514,382",,,27.41%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"432,146",,,"821,102",,,52.63%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"654,871",,,"1,090,999",,,60.02%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"773,962",,,"1,419,735",,,54.51%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"464,121",,,"1,039,477",,,44.65%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"128,770",,,"442,679",,,29.09%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"507,186",,,"2,548,046",,,19.90%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"255,987",,,"1,181,250",,,21.67%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"526,574",,,"2,209,413",,,23.83%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"164,335",,,"699,801",,,23.48%,,
CY 2019,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"112,668",,,"558,160",,,20.19%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"2,091",,,"190,723",,,1.10%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"99,316",,,"514,382",,,19.31%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"402,834",,,"821,102",,,49.06%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"641,715",,,"1,090,999",,,58.82%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"756,600",,,"1,419,735",,,53.29%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"449,454",,,"1,039,477",,,43.24%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"123,114",,,"442,679",,,27.81%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"463,990",,,"2,548,046",,,18.21%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"232,315",,,"1,181,250",,,19.67%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"478,767",,,"2,209,413",,,21.67%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"149,274",,,"699,801",,,21.33%,,
CY 2019,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"101,325",,,"558,160",,,18.15%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,71,,,"190,723",,,0.04%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"12,660",,,"514,382",,,2.46%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"153,239",,,"821,102",,,18.66%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"303,056",,,"1,090,999",,,27.78%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"286,009",,,"1,419,735",,,20.15%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"192,234",,,"1,039,477",,,18.49%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"50,963",,,"442,679",,,11.51%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"231,050",,,"2,548,046",,,9.07%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"122,158",,,"1,181,250",,,10.34%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"226,099",,,"2,209,413",,,10.23%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"62,805",,,"699,801",,,8.97%,,
CY 2019,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"33,656",,,"558,160",,,6.03%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"6,810",,,"190,723",,,3.57%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"155,130",,,"514,382",,,30.16%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"438,662",,,"821,102",,,53.42%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"652,896",,,"1,090,999",,,59.84%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"765,801",,,"1,419,735",,,53.94%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"442,491",,,"1,039,477",,,42.57%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"113,191",,,"442,679",,,25.57%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"362,626",,,"2,548,046",,,14.23%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"175,127",,,"1,181,250",,,14.83%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"353,626",,,"2,209,413",,,16.01%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"106,810",,,"699,801",,,15.26%,,
CY 2019,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"66,677",,,"558,160",,,11.95%,,
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age <1,,3,No Data Available,"190,723",,,,3,No Data Available
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 1-2,,3,No Data Available,"514,382",,,,3,No Data Available
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 3-5,,3,No Data Available,"821,102",,,,3,No Data Available
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 6-9,"194,967",,,"1,090,999",,,17.87%,,
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 10-14,"148,699",,,"1,419,735",,,10.47%,,
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 15-18,,3,No Data Available,"1,039,477",,,,3,No Data Available
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 19-20,,3,No Data Available,"442,679",,,,3,No Data Available
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 21-34,,3,No Data Available,"2,548,046",,,,3,No Data Available
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 35-44,,3,No Data Available,"1,181,250",,,,3,No Data Available
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 45-64,,3,No Data Available,"2,209,413",,,,3,No Data Available
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 65-74,,3,No Data Available,"699,801",,,,3,No Data Available
CY 2019,Use of Sealant (D1351 or Safety Net Clinics 03 Encounters with ICD 10 Code Z98810),Age 75+,,3,No Data Available,"558,160",,,,3,No Data Available
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age <1,"8,571",,,"196,937",,,4.35%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 1-2,"135,987",,,"489,079",,,27.80%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 3-5,"357,912",,,"790,271",,,45.29%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 6-9,"549,637",,,"1,076,163",,,51.07%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 10-14,"650,112",,,"1,406,919",,,46.21%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 15-18,"411,646",,,"1,046,964",,,39.32%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 19-20,"122,910",,,"462,580",,,26.57%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 21-34,"501,442",,,"2,601,400",,,19.28%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 35-44,"255,917",,,"1,213,943",,,21.08%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 45-64,"511,837",,,"2,204,036",,,23.22%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 65-74,"158,612",,,"714,177",,,22.21%,,
CY 2020,"Annual Dental Visit (D0100 - D9999, CPT 99188 or Safety Net Clinics 03 Encounters)",Age 75+,"103,997",,,"568,876",,,18.28%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"1,609",,,"196,937",,,0.82%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"81,682",,,"489,079",,,16.70%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"299,160",,,"790,271",,,37.86%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"489,250",,,"1,076,163",,,45.46%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"564,466",,,"1,406,919",,,40.12%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"335,810",,,"1,046,964",,,32.07%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"89,470",,,"462,580",,,19.34%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"297,296",,,"2,601,400",,,11.43%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"142,456",,,"1,213,943",,,11.73%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"257,961",,,"2,204,036",,,11.70%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"72,137",,,"714,177",,,10.10%,,
CY 2020,"Treatment for Caries (D2000-D2999) or Caries-Preventive Procedure (D1203-D1208, D1310, D1330, D1351 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"41,192",,,"568,876",,,7.24%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,"1,318",,,"196,937",,,0.67%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"63,238",,,"489,079",,,12.93%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"246,600",,,"790,271",,,31.20%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"336,995",,,"1,076,163",,,31.31%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"294,555",,,"1,406,919",,,20.94%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"200,845",,,"1,046,964",,,19.18%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"64,711",,,"462,580",,,13.99%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"317,967",,,"2,601,400",,,12.22%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"175,371",,,"1,213,943",,,14.45%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"365,078",,,"2,204,036",,,16.56%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"116,427",,,"714,177",,,16.30%,,
CY 2020,Use of Dental Treatment Services (D2000 - D9999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"79,017",,,"568,876",,,13.89%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"4,506",,,"196,937",,,2.29%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"103,705",,,"489,079",,,21.20%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"329,609",,,"790,271",,,41.71%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"520,149",,,"1,076,163",,,48.33%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"611,928",,,"1,406,919",,,43.49%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"378,074",,,"1,046,964",,,36.11%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"111,568",,,"462,580",,,24.12%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"438,907",,,"2,601,400",,,16.87%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"215,950",,,"1,213,943",,,17.79%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"424,305",,,"2,204,036",,,19.25%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"127,925",,,"714,177",,,17.91%,,
CY 2020,"Use of Diagnostic Services (D0100-D0999, M2620 M26211 M26212 M26213 M2632 M264 M2660 M2662 M2663 M2669 R6884 or  Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"82,032",,,"568,876",,,14.42%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"1,485",,,"196,937",,,0.75%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"74,446",,,"489,079",,,15.22%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 3-5,"304,139",,,"790,271",,,38.49%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 6-9,"503,616",,,"1,076,163",,,46.80%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 10-14,"592,458",,,"1,406,919",,,42.11%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 15-18,"363,038",,,"1,046,964",,,34.68%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 19-20,"105,264",,,"462,580",,,22.76%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 21-34,"394,543",,,"2,601,400",,,15.17%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 35-44,"191,384",,,"1,213,943",,,15.77%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 45-64,"377,228",,,"2,204,036",,,17.12%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 65-74,"113,467",,,"714,177",,,15.89%,,
CY 2020,"Exams/Oral Health Evaluations (D0120, D0145, or D0150 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 75+,"71,701",,,"568,876",,,12.60%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age <1,48,,,"196,937",,,0.02%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 1-2,"9,674",,,"489,079",,,1.98%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 3-5,"113,291",,,"790,271",,,14.34%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 6-9,"224,225",,,"1,076,163",,,20.84%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 10-14,"209,246",,,"1,406,919",,,14.87%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 15-18,"145,890",,,"1,046,964",,,13.93%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 19-20,"42,307",,,"462,580",,,9.15%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 21-34,"193,416",,,"2,601,400",,,7.44%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 35-44,"99,438",,,"1,213,943",,,8.19%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 45-64,"175,992",,,"2,204,036",,,7.98%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 65-74,"48,197",,,"714,177",,,6.75%,,
CY 2020,Use of Restorative Services (D2000 - D2999 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes),Age 75+,"24,280",,,"568,876",,,4.27%,,
CY 2020,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age <1,"7,085",,,"196,937",,,3.60%,,
CY 2020,"Use of Preventive Services (D1000 - D1999, CPT 99188 or Safety Net Clinics 03 Encounters with identified ICD 10 Codes)",Age 1-2,"127,167",,,"489,079",,,26.00%,,
